CDR;close;Predictions
1907;446.0;505.50952
1908;438.5;513.3131
1909;440.7;518.26685
1910;439.9;521.6559
1911;430.6;523.675
1912;428.0;523.26117
1913;436.6;521.48444
1914;433.4;520.78284
1915;432.0;520.0541
1916;429.0;519.26074
1917;430.2;518.0866
1918;417.3;517.14594
1919;403.0;514.29877
1920;405.3;508.7654
1921;404.0;503.27878
1922;402.1;498.28802
1923;385.3;493.90765
1924;400.9;487.65485
1925;407.0;484.1387
1926;402.6;483.15927
1927;410.0;482.7037
1928;429.6;483.82224
1929;431.4;488.64877
1930;418.4;494.59647
1931;382.6;498.0816
1932;397.2;494.16895
1933;398.7;490.15427
1934;374.8;486.6362
1935;377.1;479.88187
1936;388.9;473.20483
1937;378.2;469.35205
1938;371.0;465.44653
1939;383.0;460.99637
1940;389.0;458.9257
1941;375.0;459.0788
1942;378.6;457.87683
1943;372.0;456.9379
1944;367.9;455.0791
1945;365.8;452.41418
1946;366.6;449.39993
1947;353.5;446.75806
1948;360.0;442.46704
1949;364.1;439.17258
1950;331.0;437.3659
1951;354.0;431.01877
1952;335.4;427.48917
1953;342.7;422.41833
1954;365.0;418.6885
1955;381.2;419.64325
1956;371.1;425.12366
1957;383.1;430.19006
1958;371.4;436.4518
1959;365.7;440.3394
1960;372.4;441.75375
1961;363.4;442.94943
1962;360.4;442.31586
1963;369.6;440.52298
1964;374.5;439.97333
1965;368.0;440.804
1966;372.2;441.0788
1967;372.6;441.83508
1968;371.1;442.73782
1969;364.0;443.34485
1970;358.9;442.58243
1971;362.7;440.51495
1972;389.5;438.7828
1973;406.0;441.8092
1974;425.0;449.124
1975;421.0;460.47107
1976;443.0;471.31433
1977;425.1;484.14328
1978;395.0;492.902
1979;395.8;493.81943
1980;362.0;491.4548
1981;320.5;482.2761
1982;296.1;464.77615
1983;300.0;442.20178
1984;300.0;421.08932
1985;309.2;403.3891
1986;271.4;391.16364
1987;256.0;376.9425
1988;267.7;361.4785
1989;269.0;349.36472
1990;274.0;340.46262
1991;280.5;335.00345
1992;274.7;332.85214
1993;276.4;331.50757
1994;265.7;330.95853
1995;248.0;329.03015
1996;239.9;323.83856
1997;246.0;316.5094
1998;248.5;310.07727
1999;249.9;305.23483
2000;265.0;301.98065
2001;256.2;302.3106
2002;253.5;302.79617
2003;248.2;302.89026
2004;252.7;301.90625
2005;253.2;301.24902
2006;250.1;300.8592
